responseid,gender,age,location,set,block,consent,domain,counts,obj1,obj2,obj3,obj4,obj5,obj1_text,obj2_text,obj3_text,obj4_text,obj5_text,choice,expdur,intdur,feedback
6,2,27,10,1,214,1,18,4,5,3,2,4,,http://choicestudies.com/img/Surveys/montreal/scatterplot/5.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/3.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/2.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/4.png,,1,27000,9.95,
6,2,27,10,2,214,1,3,2,1,4,,,,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,,,,2,18000,9.95,
6,2,27,10,3,214,1,22,5,3,4,2,1,5,$15.00,$14.00,$13.00,$9.00,$15.00,3,36000,9.95,
6,2,27,10,4,214,1,2,3,5,3,4,,,Julianne Moore,Kathy Bates,Amy Adams,,,3,8000,9.95,
6,2,27,10,5,214,1,27,2,1,4,,,,"1GB data per month, $35 per month","6GB data per month, $54 per month",,,,2,38000,9.95,
6,2,27,10,6,214,1,32,3,1,3,4,,,90,35,10,,,2,26000,9.95,
6,2,27,10,7,214,1,16,5,3,1,5,2,4,Possession would be illegal but not criminal; all sales would be a criminal offense,"Possession by, and sales to, adults would be both legal; sales to minors would be a criminal offence","Possession and sales would be criminal offenses, without exception","Possession by, and sales to, adults would be both illegal but neither would be a criminal offense; sales to minors would be a criminal offence","Possession and sales would be criminal offenses, with a small number of medical exceptions",5,26000,9.95,
6,2,27,10,8,214,1,6,3,5,1,4,,,Pineapple,Mango,Grapefruit,,,1,6000,9.95,
6,2,27,10,9,214,1,30,3,1,2,4,,,Sharp,Insignia,Samsung,,,3,23000,9.95,
6,2,27,10,10,214,1,20,2,4,3,,,,Nigeria,Pakistan,,,,2,12000,9.95,
6,2,27,10,11,214,1,28,2,5,2,,,,"4.8/5 stars, $406 per night","3.9/5 stars, $263 per night",,,,2,10000,9.95,
6,2,27,10,12,214,1,31,4,1,5,4,2,,18.71,13.46,12.35,9.99,,3,19000,9.95,
6,2,27,10,13,214,1,17,4,5,1,2,3,,"Seattle, United States","Warsaw, Poland","London, United Kingdom","Vancouver, Canada",,2,16000,9.95,
6,2,27,10,14,214,1,29,4,1,2,3,5,,1:30,3:15,2:15,2:45,,4,21000,9.95,
6,2,27,10,15,214,1,9,2,4,2,,,,Scotland and Quebec become independent countries,Either Catalonia or Quebec become independent countries,,,,1,10000,9.95,
6,2,27,10,16,214,1,15,2,2,1,,,,http://choicestudies.com/img/Surveys/montreal/travel/2.jpg,http://choicestudies.com/img/Surveys/montreal/travel/1.jpg,,,,1,6000,9.95,
6,2,27,10,17,214,1,4,2,5,4,,,,Tom Hanks and Angelina Jolie,Scarlett Johansson and Angelina Jolie,,,,1,6000,9.95,
6,2,27,10,18,214,1,19,3,4,1,2,,,http://choicestudies.com/img/Surveys/montreal/triangles/4.png,http://choicestudies.com/img/Surveys/montreal/triangles/1.png,http://choicestudies.com/img/Surveys/montreal/triangles/2.png,,,1,21000,9.95,
6,2,27,10,19,214,1,8,3,4,1,2,,,Blue and red,Black and red,Black and purple,,,3,12000,9.95,
6,2,27,10,20,214,1,23,2,1,3,,,,60,70,,,,2,20000,9.95,
6,2,27,10,21,214,1,12,2,4,2,,,,http://choicestudies.com/img/Surveys/montreal/aboriginal/4.png,http://choicestudies.com/img/Surveys/montreal/aboriginal/2.png,,,,2,10000,9.95,
6,2,27,10,22,214,1,14,2,1,2,,,,Who did Bill buy the car to please?,This is a book which reading would be fun.,,,,1,23000,9.95,
