responseid,set,block,consent,domain,counts,obj1,obj2,obj3,obj4,obj5,obj1_text,obj2_text,obj3_text,obj4_text,obj5_text,choice,expdur,intdur,feedback
7,13,655,1,5,2,4,3,,,,"Bacon, white onion, mozzarella, parmesan, fresh cream, tomato sauce, ground pepper","Red onion, tomato sauce, feta, mozzarella, olive oil, Greek spices, tomato sauce",,,,1,10610,18.0667,Interesting survey.
7,14,655,1,16,4,1,5,2,3,,"Possession by, and sales to, adults would be both legal; sales to minors would be a criminal offence","Possession and sales would be criminal offenses, without exception","Possession by, and sales to, adults would be both illegal but neither would be a criminal offense; sales to minors would be a criminal offence",Possession would be illegal but not criminal; all sales would be a criminal offense,,1,3797,18.0667,Interesting survey.
7,15,655,1,3,3,4,5,3,,,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,"Identical twins, separated at birth and each raised by one of their biological parents, discover each other for the first time at summer camp and make a plan to bring their wayward parents back together.","The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",,,2,43640,18.0667,Interesting survey.
7,16,655,1,30,5,2,3,5,1,4,Insignia,Sony,Toshiba,Sharp,Samsung,4,8328,18.0667,Interesting survey.
7,17,655,1,24,2,3,5,,,,19,22,,,,1,90282,18.0667,Interesting survey.
7,18,655,1,13,2,3,5,,,,http://choicestudies.com/img/Surveys/montreal/impressionist/3.jpg,http://choicestudies.com/img/Surveys/montreal/impressionist/5.jpg,,,,2,16651,18.0667,Interesting survey.
7,19,655,1,1,2,3,4,,,,Morgan Freeman,Leonardo DiCaprio,,,,2,8234,18.0667,Interesting survey.
7,20,655,1,12,3,4,2,1,,,http://choicestudies.com/img/Surveys/montreal/aboriginal/4.png,http://choicestudies.com/img/Surveys/montreal/aboriginal/2.png,http://choicestudies.com/img/Surveys/montreal/aboriginal/1.png,,,3,8672,18.0667,Interesting survey.
7,21,655,1,15,4,5,2,1,3,,http://choicestudies.com/img/Surveys/montreal/travel/5.jpg,http://choicestudies.com/img/Surveys/montreal/travel/2.jpg,http://choicestudies.com/img/Surveys/montreal/travel/1.jpg,http://choicestudies.com/img/Surveys/montreal/travel/3.jpg,,1,7761,18.0667,Interesting survey.
7,22,655,1,28,4,5,4,2,3,,"4.8/5 stars, $406 per night","4.4/5 stars, $358 per night","3.9/5 stars, $263 per night","4.2/5 stars, $311 per night",,2,16656,18.0667,Interesting survey.
7,23,655,1,10,2,1,3,,,,News,"Classic Hits (Rock and pop, roughly 1964-1989)",,,,1,5625,18.0667,Interesting survey.
7,24,655,1,22,3,5,2,3,,,$15.00,$13.00,$15.00,,,2,5250,18.0667,Interesting survey.
7,25,655,1,32,4,4,3,1,2,,10,35,90,35,,2,4516,18.0667,Interesting survey.
7,26,655,1,21,2,4,3,,,,Brazil,China,,,,1,14390,18.0667,Interesting survey.
7,27,655,1,17,2,5,3,,,,"Seattle, United States","Vancouver, Canada",,,,2,11609,18.0667,Interesting survey.
7,28,655,1,26,2,1,2,,,,$200 credited to your bank account immediately,$245 credited to your bank account in six months,,,,1,19297,18.0667,Interesting survey.
7,29,655,1,27,3,2,4,1,,,"2GB data per month, $45 per month","6GB data per month, $54 per month","1GB data per month, $35 per month",,,2,8375,18.0667,Interesting survey.
7,30,655,1,31,3,4,5,3,,,12.35,13.46,13.72,,,2,12688,18.0667,Interesting survey.
7,31,655,1,25,3,3,2,1,,,3:15,3:24,4:00,,,2,3656,18.0667,Interesting survey.
7,32,655,1,19,4,5,2,1,3,,http://choicestudies.com/img/Surveys/montreal/triangles/5.png,http://choicestudies.com/img/Surveys/montreal/triangles/2.png,http://choicestudies.com/img/Surveys/montreal/triangles/1.png,http://choicestudies.com/img/Surveys/montreal/triangles/3.png,,3,10474,18.0667,Interesting survey.
8,1,274,1,25,4,5,3,4,1,,2:30,3:15,3:06,4:00,,4,24437,112.9833,
8,2,274,1,11,2,2,4,,,,Elvis Presley,Madonna,,,,1,4516,112.9833,
8,3,274,1,1,3,5,1,3,,,Christian Bale,Tom Hanks,Morgan Freeman,,,2,3422,112.9833,
8,4,274,1,18,2,3,1,,,,http://choicestudies.com/img/Surveys/montreal/scatterplot/3.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/1.png,,,,1,12046,112.9833,
8,5,274,1,21,4,4,5,1,3,,Brazil,Australia,Canada,China,,4,9704,112.9833,
8,6,274,1,4,3,4,5,1,,,Scarlett Johansson and Angelina Jolie,Tom Hanks and Angelina Jolie,Tom Hanks and Scarlett Johansson,,,2,4843,112.9833,
8,7,274,1,24,3,3,2,1,,,19,22,34,,,2,10812,112.9833,
8,8,274,1,12,2,3,4,,,,http://choicestudies.com/img/Surveys/montreal/aboriginal/3.png,http://choicestudies.com/img/Surveys/montreal/aboriginal/4.png,,,,1,5136,112.9833,
8,9,274,1,27,2,1,2,,,,"1GB data per month, $35 per month","2GB data per month, $45 per month",,,,2,5984,112.9833,
8,10,274,1,30,2,1,4,,,,Sharp,Samsung,,,,2,6235,112.9833,
8,11,274,1,20,3,5,1,3,,,Bangladesh,Indonesia,Pakistan,,,3,5562,112.9833,
8,12,274,1,28,3,4,2,5,,,"4.4/5 stars, $358 per night","3.9/5 stars, $263 per night","4.8/5 stars, $406 per night",,,2,7500,112.9833,
8,13,274,1,9,3,4,2,5,,,Scotland and Quebec become independent countries,Either Catalonia or Quebec become independent countries,Either Scotland or Quebec become independent countries,,,3,6390,112.9833,
8,14,274,1,13,4,3,4,1,5,,http://choicestudies.com/img/Surveys/montreal/impressionist/3.jpg,http://choicestudies.com/img/Surveys/montreal/impressionist/4.jpg,http://choicestudies.com/img/Surveys/montreal/impressionist/1.jpg,http://choicestudies.com/img/Surveys/montreal/impressionist/5.jpg,,3,5844,112.9833,
8,15,274,1,10,2,1,4,,,,News,Country Music,,,,2,4828,112.9833,
8,16,274,1,14,2,1,3,,,,Who did Bill buy the car to please?,Where did Bill buy the car to drive?,,,,2,10421,112.9833,
8,17,274,1,8,3,4,2,1,,,Blue and red,Black and purple,Black and red,,,2,6251,112.9833,
8,18,274,1,7,3,5,4,2,,,Green,Blue,Purple,,,3,4750,112.9833,
8,19,274,1,32,2,3,4,,,,35,10,,,,1,19390,112.9833,
8,20,274,1,15,2,1,5,,,,http://choicestudies.com/img/Surveys/montreal/travel/1.jpg,http://choicestudies.com/img/Surveys/montreal/travel/5.jpg,,,,1,4266,112.9833,
8,21,274,1,17,3,2,4,5,,,"London, United Kingdom","Paris, France","Seattle, United States",,,2,7469,112.9833,
8,22,274,1,6,2,3,4,,,,Apple,Grapefruit,,,,2,4140,112.9833,
8,23,274,1,23,2,3,1,,,,70,60,,,,1,9641,112.9833,
8,24,274,1,29,2,4,1,,,,1:30,1:30,,,,2,11407,112.9833,
8,25,274,1,2,5,3,4,2,5,1,Kathy Bates,Amy Adams,Jody Foster,Julianne Moore,Meryl Streep,3,4563,112.9833,
8,26,274,1,31,3,4,3,5,,,12.35,13.72,13.46,,,3,10687,112.9833,
8,27,274,1,5,2,3,5,,,,"Red onion, tomato sauce, feta, mozzarella, olive oil, Greek spices, tomato sauce","Mushrooms, green pepper, mozzarella, tomato sauce",,,,2,7625,112.9833,
8,28,274,1,16,3,3,5,4,,,Possession would be illegal but not criminal; all sales would be a criminal offense,"Possession and sales would be criminal offenses, without exception","Possession and sales would be criminal offenses, with a small number of medical exceptions",,,3,8579,112.9833,
8,29,274,1,3,3,1,3,4,,,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","The lives of two mob hit men, a boxer, a gangster's wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,,,2,10765,112.9833,
8,30,274,1,22,3,2,5,3,,,$13.00,$15.00,$15.00,,,2,11281,112.9833,
8,31,274,1,26,3,3,4,1,,,$255 credited to your bank account in one year,$315 credited to your bank account in two years,$200 credited to your bank account immediately,,,3,8406,112.9833,
8,32,274,1,19,3,3,1,4,,,http://choicestudies.com/img/Surveys/montreal/triangles/3.png,http://choicestudies.com/img/Surveys/montreal/triangles/1.png,http://choicestudies.com/img/Surveys/montreal/triangles/4.png,,,2,7964,112.9833,
9,1,339,1,21,3,5,4,2,,,Australia,Brazil,United States of America,,,2,59469,9.8167,
9,2,339,1,5,4,5,2,4,3,,"Mushrooms, green pepper, mozzarella, tomato sauce","Pepperoni, mushrooms, green pepper, mozzarella, tomato sauce","Bacon, white onion, mozzarella, parmesan, fresh cream, tomato sauce, ground pepper","Red onion, tomato sauce, feta, mozzarella, olive oil, Greek spices, tomato sauce",,4,13343,9.8167,
9,3,339,1,10,2,4,3,,,,Country Music,"Classic Hits (Rock and pop, roughly 1964-1989)",,,,2,9359,9.8167,
9,4,339,1,20,2,3,4,,,,Pakistan,Nigeria,,,,1,20938,9.8167,
9,5,339,1,31,3,5,3,4,,,13.46,13.72,12.35,,,2,24016,9.8167,
9,6,339,1,29,3,5,4,2,,,2:45,1:30,3:15,,,3,43359,9.8167,
9,7,339,1,7,4,1,5,2,4,,Red,Green,Purple,Blue,,3,4390,9.8167,
9,8,339,1,13,2,2,1,,,,http://choicestudies.com/img/Surveys/montreal/impressionist/2.jpg,http://choicestudies.com/img/Surveys/montreal/impressionist/1.jpg,,,,2,6271,9.8167,
9,9,339,1,32,2,1,4,,,,90,10,,,,1,19562,9.8167,
9,10,339,1,16,4,3,1,5,4,,Possession would be illegal but not criminal; all sales would be a criminal offense,"Possession by, and sales to, adults would be both legal; sales to minors would be a criminal offence","Possession and sales would be criminal offenses, without exception","Possession and sales would be criminal offenses, with a small number of medical exceptions",,2,20235,9.8167,
9,11,339,1,17,3,2,1,3,,,"London, United Kingdom","Warsaw, Poland","Vancouver, Canada",,,2,20984,9.8167,
9,12,339,1,6,4,2,3,5,4,,Orange,Apple,Pineapple,Grapefruit,,3,5531,9.8167,
9,13,339,1,24,2,5,4,,,,22,7,,,,2,17313,9.8167,
9,14,339,1,3,2,1,2,,,,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.","Mathilda, a 12-year-old girl, is reluctantly taken in by L&eacute;on, a professional assassin, after her family is murdered. L&eacute;on and Mathilda form an unusual relationship, as she becomes his prot&eacute;g&eacute; and learns the assassin's trade.",,,,2,20000,9.8167,
9,15,339,1,19,3,1,4,3,,,http://choicestudies.com/img/Surveys/montreal/triangles/1.png,http://choicestudies.com/img/Surveys/montreal/triangles/4.png,http://choicestudies.com/img/Surveys/montreal/triangles/3.png,,,1,14469,9.8167,
9,16,339,1,28,3,3,5,2,,,"4.2/5 stars, $311 per night","4.8/5 stars, $406 per night","3.9/5 stars, $263 per night",,,3,17344,9.8167,
9,17,339,1,18,2,1,5,,,,http://choicestudies.com/img/Surveys/montreal/scatterplot/1.png,http://choicestudies.com/img/Surveys/montreal/scatterplot/5.png,,,,1,8116,9.8167,
9,18,339,1,23,3,5,1,2,,,75,60,80,,,1,22156,9.8167,
